URSI;STATION NAME;LAT;LONG;EARLIEST DATA;LATEST DATA
SH266;SALEKHARD;66.51;66.66;Mar 17, 2015;Mar 30, 2022
VT139;SAN VITO (U);40.6;17.8;Aug 02, 2000;Apr 03, 2023
SMK29;SANTA MARIA (U);-29.73;306.29;Apr 13, 2017;Apr 03, 2023
SA418;SANYA;18.34;109.42;Aug 17, 2013;Nov 07, 2021
SAA0K;SAOLUIS;-2.6;315.8;Jan 19, 1997;Aug 07, 2022
SMJ67;SONDRESTROM;66.98;309.06;Oct 27, 1989;Sep 07, 2012
SO148;SOPRON (U);47.63;16.72;Jun 25, 2018;Apr 03, 2023
LD160;ST. PETERSBURG;60;30.7;Feb 28, 2018;Apr 08, 2022
THJ76;THULE (U);76.54;291.56;Aug 17, 2019;Apr 03, 2023
THJ77;THULE/QAANAAQ;77.5;290.8;Jan 01, 1987;Aug 20, 2014
TM308;TRIVANDRUM;8.54;76.87;Feb 03, 2009;Nov 08, 2021
TR169;TROMSO (U);69.6;19.2;Jul 01, 1993;Apr 03, 2023
TUJ2O;TUCUMAN;-26.9;294.6;Nov 11, 2002;Dec 22, 2006
TNJ20;TUCUMAN AIS-INGV;-26.9;294.6;Mar 01, 2014;Feb 04, 2019
TZ362;TUNGUSKA;61.58;90.02;Mar 17, 2015;Mar 30, 2022
WA619;WAKE (U);19.29;166.65;Sep 09, 2019;Apr 03, 2023
WP937;WALLOPS ISLAND (U);37.9;284.5;Aug 22, 1999;Apr 03, 2023
WI937;WALLOPS ISLAND;37.94;284.42;Jan 09, 2014;Dec 06, 2021
MZ152;WARSAW (U);52.2;21.1;Apr 19, 2012;Apr 03, 2023
WU430;WUHAN;30.5;114.4;Jan 27, 2002;Nov 07, 2021
YA462;YAKUTSK;62;129.6;Nov 29, 2002;Jun 16, 2017
ZH466;ZHIGANSK;66.8;123.4;Nov 12, 2003;Nov 07, 2021
